 sapere	Freq: 337	Categoria:Verbi  
 uomo	Freq: 310	Categoria:Sostantivi  
 cosa	Freq: 290	Categoria:Sostantivi  
 vedere	Freq: 285	Categoria:Verbi  
 bello	Freq: 218	Categoria:Aggettivi  
 sentire	Freq: 210	Categoria:Verbi  
 amore	Freq: 201	Categoria:Sostantivi  
 vita	Freq: 190	Categoria:Sostantivi  
 mondo	Freq: 183	Categoria:Sostantivi  
 pensare	Freq: 165	Categoria:Verbi  
 capire	Freq: 164	Categoria:Verbi  
 guardare	Freq: 160	Categoria:Verbi  
 gente	Freq: 151	Categoria:Sostantivi  
 donna	Freq: 151	Categoria:Sostantivi  
 parlare	Freq: 139	Categoria:Verbi  
 nuovo	Freq: 132	Categoria:Aggettivi  
 credere	Freq: 132	Categoria:Verbi  
 vero	Freq: 120	Categoria:Aggettivi  
 morire	Freq: 119	Categoria:Verbi  
 senso	Freq: 116	Categoria:Sostantivi  
 grande	Freq: 116	Categoria:Aggettivi  
 tempo	Freq: 114	Categoria:Sostantivi  
 strano	Freq: 112	Categoria:Aggettivi  
 bastare	Freq: 109	Categoria:Verbi  
 sembrare	Freq: 109	Categoria:Verbi  
 potere	Freq: 107	Categoria:Verbi  
 parte	Freq: 105	Categoria:Sostantivi  
 diventare	Freq: 104	Categoria:Verbi  
 vivere	Freq: 100	Categoria:Verbi  
 amare	Freq: 97	Categoria:Verbi  
 giorno	Freq: 97	Categoria:Sostantivi  
 mettere	Freq: 96	Categoria:Verbi  
 volere	Freq: 95	Categoria:Verbi  
 prendere	Freq: 95	Categoria:Verbi  
 dare	Freq: 91	Categoria:Verbi  
 idea	Freq: 91	Categoria:Sostantivi  
 anno	Freq: 90	Categoria:Sostantivi  
 momento	Freq: 89	Categoria:Sostantivi  
 pieno	Freq: 88	Categoria:Aggettivi  
 bisogno	Freq: 88	Categoria:Sostantivi  
 trovare	Freq: 88	Categoria:Verbi  
 corpo	Freq: 83	Categoria:Sostantivi  
 casa	Freq: 82	Categoria:Sostantivi  
 bisognare	Freq: 82	Categoria:Verbi  
 altro	Freq: 82	Categoria:Sostantivi  
 mano	Freq: 82	Categoria:Sostantivi  
 buono	Freq: 81	Categoria:Aggettivi  
 piccolo	Freq: 81	Categoria:Aggettivi  
 piacere	Freq: 80	Categoria:Sostantivi  
 lasciare	Freq: 80	Categoria:Verbi  
 aria	Freq: 78	Categoria:Sostantivi  
 giusto	Freq: 77	Categoria:Aggettivi  
 libertà	Freq: 75	Categoria:Sostantivi  
 paura	Freq: 74	Categoria:Sostantivi  
 mangiare	Freq: 73	Categoria:Verbi  
 figlio	Freq: 69	Categoria:Sostantivi  
 riuscire	Freq: 69	Categoria:Verbi  
 normale	Freq: 69	Categoria:Aggettivi  
 gesto	Freq: 69	Categoria:Sostantivi  
 voglia	Freq: 67	Categoria:Sostantivi  
 piano	Freq: 67	Categoria:Aggettivi  
 testa	Freq: 67	Categoria:Sostantivi  
 bambino	Freq: 66	Categoria:Sostantivi  
 cambiare	Freq: 65	Categoria:Verbi  
 gran	Freq: 63	Categoria:Aggettivi  
 muovere	Freq: 61	Categoria:Verbi  
 mamma	Freq: 61	Categoria:Sostantivi  
 parola	Freq: 61	Categoria:Sostantivi  
 persona	Freq: 61	Categoria:Sostantivi  
 perdere	Freq: 60	Categoria:Verbi  
 storia	Freq: 60	Categoria:Sostantivi  
 cercare	Freq: 60	Categoria:Verbi  
 nascere	Freq: 59	Categoria:Verbi  
 vecchio	Freq: 59	Categoria:Aggettivi  
 cuore	Freq: 59	Categoria:Sostantivi  
 forza	Freq: 58	Categoria:Sostantivi  
 strada	Freq: 56	Categoria:Sostantivi  
 tenere	Freq: 55	Categoria:Verbi  
 conoscere	Freq: 55	Categoria:Verbi  
 pensiero	Freq: 55	Categoria:Sostantivi  
 passare	Freq: 54	Categoria:Verbi  
 occhio	Freq: 54	Categoria:Sostantivi  
 mare	Freq: 54	Categoria:Sostantivi  
 portare	Freq: 53	Categoria:Verbi  
 importante	Freq: 53	Categoria:Aggettivi  
 arrivare	Freq: 53	Categoria:Verbi  
